dataset,metadata,color,split0,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,split11,split12,split13,split14,split15,split16,split17,split18,split19
propotions_DADA2,localization,y,0.6666666666666666,0.75,0.5833333333333334,0.5,0.75,0.5833333333333334,0.625,0.6666666666666666,0.5833333333333334,0.75,0.7916666666666666,0.4583333333333333,0.875,0.75,0.7083333333333334,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666
Heilinger_DADA2,localization,y,0.625,0.75,0.5416666666666666,0.5416666666666666,0.75,0.6666666666666666,0.625,0.6666666666666666,0.625,0.7916666666666666,0.7916666666666666,0.4583333333333333,0.8333333333333334,0.7083333333333334,0.8333333333333334,0.7083333333333334,0.75,0.75,0.7083333333333334,0.6666666666666666
rarefied_prev_filt_DADA2,localization,purple,0.7083333333333334,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5416666666666666,0.7083333333333334,0.5833333333333334,0.7916666666666666,0.7916666666666666,0.5416666666666666,0.7916666666666666,0.625,0.75,0.625,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.625
rarefied_DADA2,localization,purple,0.5,0.625,0.375,0.4583333333333333,0.7083333333333334,0.625,0.5,0.625,0.5,0.7083333333333334,0.7083333333333334,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.625,0.5833333333333334,0.7083333333333334,0.5833333333333334,0.5833333333333334
lognorm_prev_filt_DADA2,localization,y,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.5416666666666666,0.75,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.625,0.8333333333333334,0.9166666666666666,0.625,0.9166666666666666,0.8333333333333334,0.7916666666666666,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75
Silva_prev_filt_DADA2,localization,white,0.5416666666666666,0.625,0.4583333333333333,0.4583333333333333,0.7083333333333334,0.625,0.4583333333333333,0.625,0.5416666666666666,0.75,0.7083333333333334,0.4583333333333333,0.75,0.625,0.6666666666666666,0.625,0.5833333333333334,0.7083333333333334,0.6666666666666666,0.625
prev_filt90_Silva_DADA2_blw.sqrt_enorm,localization,#050598,0.625,0.75,0.5,0.625,0.7083333333333334,0.75,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.75,0.75,0.5,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.7083333333333334,0.625,0.7083333333333334,0.625,0.625
Shuffle1_PhILR_prev_filt90_Silva_DADA2_blw.sqrt_enorm,localization,#f7d8a0,0.625,0.7083333333333334,0.5,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5,0.75,0.625,0.75,0.7083333333333334,0.5416666666666666,0.75,0.6666666666666666,0.75,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.625,0.625
Shuffle2_PhILR_prev_filt90_Silva_DADA2_blw.sqrt_enorm,localization,#f7d8a0,0.5833333333333334,0.6666666666666666,0.5416666666666666,0.5,0.7083333333333334,0.6666666666666666,0.5,0.6666666666666666,0.5416666666666666,0.75,0.7916666666666666,0.5,0.8333333333333334,0.7083333333333334,0.6666666666666666,0.75,0.75,0.75,0.5833333333333334,0.75
Shuffle3_PhILR_prev_filt90_Silva_DADA2_blw.sqrt_enorm,localization,#f7d8a0,0.5833333333333334,0.7083333333333334,0.5416666666666666,0.5,0.75,0.75,0.5833333333333334,0.6666666666666666,0.625,0.7083333333333334,0.7083333333333334,0.625,0.6666666666666666,0.625,0.75,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.5833333333333334,0.7083333333333334
UPGMA_prev_filt_DADA2,localization,white,0.5416666666666666,0.5,0.375,0.5,0.7083333333333334,0.5833333333333334,0.4583333333333333,0.6666666666666666,0.5,0.7083333333333334,0.7083333333333334,0.375,0.6666666666666666,0.5,0.625,0.5416666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5833333333333334
prev_filt90_UPGMA_DADA2_blw.sqrt_enorm,localization,#050598,0.625,0.625,0.4583333333333333,0.5,0.7083333333333334,0.5833333333333334,0.5,0.625,0.625,0.7083333333333334,0.6666666666666666,0.5416666666666666,0.7916666666666666,0.6666666666666666,0.5416666666666666,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334
Shuffle1_PhILR_prev_filt90_UPGMA_DADA2_blw.sqrt_enorm,localization,#f7d8a0,0.6666666666666666,0.6666666666666666,0.4583333333333333,0.5,0.75,0.625,0.5833333333333334,0.7083333333333334,0.625,0.7083333333333334,0.6666666666666666,0.5,0.6666666666666666,0.5833333333333334,0.75,0.625,0.625,0.75,0.625,0.75
Shuffle2_PhILR_prev_filt90_UPGMA_DADA2_blw.sqrt_enorm,localization,#f7d8a0,0.5416666666666666,0.625,0.4166666666666667,0.5,0.7083333333333334,0.6666666666666666,0.4583333333333333,0.6666666666666666,0.5833333333333334,0.75,0.75,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.75,0.6666666666666666,0.6666666666666666,0.5416666666666666,0.6666666666666666
Shuffle3_PhILR_prev_filt90_UPGMA_DADA2_blw.sqrt_enorm,localization,#f7d8a0,0.625,0.6666666666666666,0.5,0.5,0.7083333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5416666666666666,0.7083333333333334,0.7916666666666666,0.4166666666666667,0.75,0.5833333333333334,0.625,0.7916666666666666,0.625,0.7083333333333334,0.625,0.625
IQtree_prev_filt_DADA2,localization,white,0.625,0.7083333333333334,0.5833333333333334,0.5,0.7083333333333334,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.5833333333333334,0.7916666666666666,0.8333333333333334,0.5,0.875,0.625,0.7083333333333334,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.625,0.6666666666666666
prev_filt90_IQtree_blw.sqrt_enorm,localization,#050598,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.5,0.75,0.75,0.5833333333333334,0.6666666666666666,0.625,0.8333333333333334,0.75,0.5,0.75,0.625,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.75,0.75,0.7083333333333334
