dataset,metadata,color,split0,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,split11,split12,split13,split14,split15,split16,split17,split18,split19
alr_prev_filt_DADA2,Recruitment.Location,plum,0.44025157232704404,0.41509433962264153,0.4025157232704403,0.44654088050314467,0.4088050314465409,0.3836477987421384,0.42138364779874216,0.4528301886792453,0.44654088050314467,0.4591194968553459,0.4025157232704403,0.34591194968553457,0.42138364779874216,0.3522012578616352,0.4528301886792453,0.42138364779874216,0.389937106918239,0.42138364779874216,0.39622641509433965,0.39622641509433965
clr_prev_filt_DADA2,Recruitment.Location,plum,0.44654088050314467,0.4025157232704403,0.4088050314465409,0.46540880503144655,0.4528301886792453,0.4276729559748428,0.4528301886792453,0.44025157232704404,0.44025157232704404,0.44654088050314467,0.4779874213836478,0.37735849056603776,0.46540880503144655,0.4025157232704403,0.44654088050314467,0.4088050314465409,0.4339622641509434,0.389937106918239,0.4276729559748428,0.4528301886792453
raw_prev_filt_DADA2,Recruitment.Location,plum,0.42857142857142855,0.38311688311688313,0.4090909090909091,0.45454545454545453,0.474025974025974,0.3961038961038961,0.42207792207792205,0.44155844155844154,0.4025974025974026,0.44155844155844154,0.461038961038961,0.42857142857142855,0.4805194805194805,0.4155844155844156,0.4090909090909091,0.37662337662337664,0.3181818181818182,0.4025974025974026,0.487012987012987,0.4025974025974026
propotions_prev_filt_DADA2,Recruitment.Location,y,0.4779874213836478,0.4276729559748428,0.3836477987421384,0.4716981132075472,0.41509433962264153,0.4339622641509434,0.4779874213836478,0.5094339622641509,0.4968553459119497,0.5031446540880503,0.4591194968553459,0.3836477987421384,0.48427672955974843,0.44025157232704404,0.4968553459119497,0.4779874213836478,0.4025157232704403,0.4276729559748428,0.4591194968553459,0.42138364779874216
Heilinger_prev_filt_DADA2,Recruitment.Location,y,0.44654088050314467,0.4276729559748428,0.42138364779874216,0.4968553459119497,0.44654088050314467,0.44025157232704404,0.46540880503144655,0.49056603773584906,0.4716981132075472,0.5094339622641509,0.4716981132075472,0.4088050314465409,0.4779874213836478,0.4528301886792453,0.44025157232704404,0.4968553459119497,0.4276729559748428,0.39622641509433965,0.44025157232704404,0.44025157232704404
propotions_DADA2,Recruitment.Location,y,0.44654088050314467,0.42138364779874216,0.42138364779874216,0.4528301886792453,0.39622641509433965,0.4088050314465409,0.4025157232704403,0.4528301886792453,0.4779874213836478,0.4779874213836478,0.42138364779874216,0.42138364779874216,0.4591194968553459,0.44654088050314467,0.44654088050314467,0.4339622641509434,0.4276729559748428,0.41509433962264153,0.42138364779874216,0.42138364779874216
Heilinger_DADA2,Recruitment.Location,y,0.48427672955974843,0.41509433962264153,0.4088050314465409,0.46540880503144655,0.3836477987421384,0.4276729559748428,0.4339622641509434,0.48427672955974843,0.46540880503144655,0.48427672955974843,0.4276729559748428,0.4088050314465409,0.4591194968553459,0.44025157232704404,0.4528301886792453,0.4339622641509434,0.39622641509433965,0.4088050314465409,0.44025157232704404,0.389937106918239
rarefied_prev_filt_DADA2,Recruitment.Location,purple,0.42857142857142855,0.4090909090909091,0.4090909090909091,0.42857142857142855,0.474025974025974,0.37012987012987014,0.3961038961038961,0.43506493506493504,0.45454545454545453,0.43506493506493504,0.44805194805194803,0.38961038961038963,0.487012987012987,0.4025974025974026,0.4155844155844156,0.43506493506493504,0.3181818181818182,0.42207792207792205,0.525974025974026,0.42857142857142855
rarefied_DADA2,Recruitment.Location,purple,0.4090909090909091,0.38961038961038963,0.38311688311688313,0.4090909090909091,0.4935064935064935,0.44805194805194803,0.43506493506493504,0.474025974025974,0.4090909090909091,0.461038961038961,0.43506493506493504,0.42207792207792205,0.474025974025974,0.4155844155844156,0.43506493506493504,0.38961038961038963,0.2987012987012987,0.37662337662337664,0.474025974025974,0.4155844155844156
lognorm_prev_filt_DADA2,Recruitment.Location,y,0.5094339622641509,0.44025157232704404,0.4276729559748428,0.46540880503144655,0.44025157232704404,0.42138364779874216,0.44654088050314467,0.4591194968553459,0.44654088050314467,0.4968553459119497,0.42138364779874216,0.4025157232704403,0.5094339622641509,0.44025157232704404,0.4339622641509434,0.44654088050314467,0.46540880503144655,0.4088050314465409,0.4591194968553459,0.4779874213836478
Silva_prev_filt_DADA2,Recruitment.Location,white,0.4155844155844156,0.4090909090909091,0.4090909090909091,0.45454545454545453,0.487012987012987,0.42207792207792205,0.487012987012987,0.5064935064935064,0.44155844155844154,0.44805194805194803,0.4675324675324675,0.43506493506493504,0.487012987012987,0.3961038961038961,0.3961038961038961,0.3961038961038961,0.34415584415584416,0.42857142857142855,0.4935064935064935,0.43506493506493504
prev_filt90_Silva_DADA2_blw.sqrt_enorm,Recruitment.Location,#050598,0.4090909090909091,0.42207792207792205,0.4155844155844156,0.44155844155844154,0.4805194805194805,0.45454545454545453,0.4025974025974026,0.474025974025974,0.45454545454545453,0.43506493506493504,0.44805194805194803,0.461038961038961,0.4935064935064935,0.4090909090909091,0.4155844155844156,0.42207792207792205,0.36363636363636365,0.44155844155844154,0.45454545454545453,0.44155844155844154
Shuffle1_PhILR_prev_filt90_Silva_DADA2_blw.sqrt_enorm,Recruitment.Location,#f7d8a0,0.45454545454545453,0.4090909090909091,0.4025974025974026,0.4675324675324675,0.4675324675324675,0.44805194805194803,0.44805194805194803,0.45454545454545453,0.44805194805194803,0.44155844155844154,0.42207792207792205,0.44155844155844154,0.551948051948052,0.43506493506493504,0.487012987012987,0.4155844155844156,0.35064935064935066,0.43506493506493504,0.4805194805194805,0.4675324675324675
